StudyID,Authors,observations,Fever_37.3up,Fever_38up,Fever_39up,Fever,Cough,Sputumproduction,Sorethroat,Myalgia,Fatigue,Shortnessofbreath,Dyspnea,Headache,Nausea,Diarrhea,setting,Ethics,Date_first_time,Date_last,control_number,age_mean,age_median
55_179,Shu et al.,545,284,NA,NA,284,382,NA,26,NA,NA,NA,89,52,0,49,Case Series,China,2020/2/13,2020/2/29,NA,NA,50
55_181,Song et al.,51,48,28,10,48,24,NA,3,NA,NA,NA,NA,8,3,5,Case Series,China,2020/1/20,2020/1/27,NA,49,NA
55_183,Su et al.,9,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/24,2020/2/24,NA,4.5,3.5
55_183,Su et al.,14,NA,NA,NA,8,5,NA,1,NA,1,1,NA,NA,NA,NA,Case Series,China,2020/1/24,2020/2/24,NA,42.9,37
55_186,Sun et al. ,123,104,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,36,Cohort,China,2020/1/29,2020/3/5,NA,NA,67
55_186,Sun et al. ,121,107,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,36,Cohort,China,2020/1/29,2020/3/5,NA,NA,72
55_19,Cao et al.,198,64,64,NA,172,97,55,NA,NA,NA,11,NA,NA,NA,11,Cohort,China,2020/1/20,2020/2/15,NA,50.1,NA
55_19-ICU,Cao et al.,19,11,11,NA,18,7,5,NA,NA,NA,7,NA,NA,NA,0,Cohort,China,2020/1/20,2020/2/15,NA,63.7,NA
55_19-non ICU,Cao et al.,179,53,53,NA,154,90,50,NA,NA,NA,4,NA,NA,NA,11,Cohort,China,2020/1/20,2020/2/15,NA,48.6,NA
55_190,Tan et al.,10,6,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/27,2020/3/10,NA,7,NA
55_191,Tang et al.,26,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,2,Case Series,China,2020/1/16,2020/2/8,NA,6.9,NA
55_192,Tian et al.,37,23,3,NA,23,25,NA,8,NA,9,12,NA,3,NA,NA,Cohort,China,NA,NA,NA,44.3,NA
55_194,Toussie et al.,338,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,USA,2020/3/10,2020/3/26,NA,NA,39
55_195,Tschopp et al.,21,NA,NA,NA,16,12,NA,NA,NA,3,NA,6,4,NA,NA,Cohort,Switzerland,2020/3/9,2020/4/6,NA,NA,56
55_196-pregnant,Tug et al.,188,NA,NA,NA,24,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,Cohort,Turkey,2020/3/11,2020/6/30,NA,NA,NA
55_196-not pregnant,Tug et al.,799,NA,NA,NA,35,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,Cohort,Turkey,2020/3/11,2020/6/30,NA,NA,NA
55_199,Wang et al.,242,NA,NA,NA,162,132,55,NA,22,72,NA,21,14,6,15,Case Series,China,2020/1/17,2020/2/20,NA,NA,45
55_20,Cao et al.,128,NA,NA,NA,115,86,NA,18,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/1,2020/2/16,NA,NA,NA
55_200,Wang et al.,13,NA,NA,NA,12,4,NA,NA,2,NA,NA,NA,NA,NA,NA,Cohort,China,2020/1/16,2020/2/25,NA,49.54,NA
55_202-training,Wang et al.,296,NA,NA,NA,213,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/1/7,2020/2/11,NA,47.32,NA
55_202-validation,Wang et al.,44,NA,NA,NA,39,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/1/1,2020/2/20,NA,55.2,NA
55_203,Wang et al.,18,NA,NA,NA,17,10,NA,1,2,NA,4,NA,1,1,3,Case Series,China,2020/1/21,2020/2/5,NA,NA,39
55_204,Wang et al.,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/1/14,2020/2/13,NA,NA,54
55_205,Wang et al.,125,109,67,12,116,102,52,NA,4,43,57,NA,11,24,50,Case Series,China,2020/1/20,2020/2/9,NA,38.76,NA
55_207-RTPCR,Wang et al.,57,NA,NA,NA,48,28,10,NA,17,23,NA,NA,7,NA,9,Cohort,China,2020/1/10,2020/2/24,NA,NA,40
55_207-clinical diagnosed,Wang et al.,23,NA,NA,NA,17,19,9,NA,2,5,NA,NA,1,NA,6,Cohort,China,2020/1/10,2020/2/24,NA,NA,39
55_21,Chambers et al.,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,USA,2020/3/27,2020/5/6,NA,34.4,NA
55_210,Wang et al.,625,NA,NA,NA,412,344,166,NA,NA,NA,20,NA,NA,NA,53,Cohort,China,2020/1/10,2020/3/15,NA,NA,46
55_211,Wang et al.,69,NA,NA,NA,62,52,NA,NA,7,41,NA,NA,NA,NA,10,Case Series,China,2020/1/1,2020/2/8,NA,NA,43
55_212,Wei et al.,9,NA,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2019/12/8,2020/2/6,NA,0.55,NA
55_213,Wen et al.,417,270,118,9,281,143,63,62,119,NA,NA,NA,55,NA,29,Case Series,China,2020/1/1,2020/2/28,NA,45.4,NA
55_215,Wu et al.,80,NA,NA,NA,63,51,NA,11,18,NA,30,NA,13,1,1,Case Series,China,2020/1/22,2020/2/14,NA,NA,46.1
55_217-all,Wu et al.,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/9,2020/2/15,10,65.8,68
55_217-ocular,Wu et al.,12,8,8,3,8,5,3,NA,NA,NA,NA,2,NA,NA,NA,Case Series,China,2020/2/9,2020/2/15,1,NA,67
55_218,Wu et al.,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2019/12/1,2020/2/2,NA,NA,NA
55_220,Wu et al.,5,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,Case Series,China,2020/1/30,2020/3/10,NA,NA,NA
